Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
BAYSIDE BAIT & TACKLE,36085 LONG NECK RD,MILLSBORO,19966,03/24/2020,Routine,,,"36085 LONG NECK RD
MILLSBORO, DE 19966
(38.624519, -75.120363)"
BAYSIDE BAIT & TACKLE,36085 LONG NECK RD,MILLSBORO,19966,05/15/2020,Routine,,,"36085 LONG NECK RD
MILLSBORO, DE 19966
(38.624519, -75.120363)"
BEACH BREAK BAKRIE & CAFÉ,123 GARFIELD PKWY UNIT 2 LIGHTHOUSE,BETHANY BEACH,19930,03/25/2021,Routine,,,"123 GARFIELD PKWY UNIT 2 LIGHTHOUSE
BETHANY BEACH, DE 19930
(38.538415, -75.056956)"
BEACH TREATS,7 N BOARDWALK,REHOBOTH BEACH,19971,07/27/2021,Routine,,,"7 N BOARDWALK
REHOBOTH BEACH, DE 19971
(38.716925, -75.076104)"
BEACH VIEW HOTEL,6 WILMINGTON AVE,REHOBOTH BEACH,19971,07/19/2021,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","6 WILMINGTON AVE
REHOBOTH BEACH, DE 19971
(38.715648, -75.076891)"
BEACH VIEW HOTEL,6 WILMINGTON AVE,REHOBOTH BEACH,19971,07/19/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","6 WILMINGTON AVE
REHOBOTH BEACH, DE 19971
(38.715648, -75.076891)"
BEACH VIEW HOTEL,6 WILMINGTON AVE,REHOBOTH BEACH,19971,07/19/2021,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","6 WILMINGTON AVE
REHOBOTH BEACH, DE 19971
(38.715648, -75.076891)"
BEANS COFFEE HOUSE,249 E MAIN STREET,NEWARK,19711,09/10/2020,Routine,,,"249 E MAIN STREET
NEWARK, DE 19711
(39.683808, -75.743346)"
BELLA CAPRI RESTAURANT,"6 COLLEGE PARK LANE, SUITE 7",GEORGETOWN,19947,01/13/2020,Routine,,,"6 COLLEGE PARK LANE, SUITE 7
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
BELLA CAPRI RESTAURANT,"6 COLLEGE PARK LANE, SUITE 7",GEORGETOWN,19947,06/02/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","6 COLLEGE PARK LANE, SUITE 7
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
BELLA CAPRI RESTAURANT,"6 COLLEGE PARK LANE, SUITE 7",GEORGETOWN,19947,06/07/2021,Follow-up,,,"6 COLLEGE PARK LANE, SUITE 7
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
BELLA CAPRI RESTAURANT,"6 COLLEGE PARK LANE, SUITE 7",GEORGETOWN,19947,12/09/2021,Routine,,,"6 COLLEGE PARK LANE, SUITE 7
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
BELLA ITALY PIZZARIA INC,4817 GOVERNOR PRINTZ BLVD,WILMINGTON,19809,01/10/2020,Routine,,,"4817 GOVERNOR PRINTZ BLVD
WILMINGTON, DE 19809
(39.754321, -75.501098)"
BELLEVUE HALL,911 PHILA PK,WILMINGTON,19809,03/10/2021,Routine,,,
BEN FRANKLIN CAFÉ,802 DELAWARE AVE,WILMINGTON,19801,07/24/2020,Routine,,,"802 DELAWARE AVE
WILMINGTON, DE 19801
(39.750118, -75.553956)"
BEST DOGZ ON THE RUN,20388 ATLANTA RD,BRIDGEVILLE,19933,06/25/2021,Routine,,,"20388 ATLANTA RD
BRIDGEVILLE, DE 19933
(38.704413, -75.674424)"
BEST KREYOL KITCHEN MOBILE,31016 N POPLAR ST,LAUREL,19956,08/27/2020,Routine,,,"31016 N POPLAR ST
LAUREL, DE 19956
(38.562541, -75.572951)"
BEST KREYOL KITCHEN MOBILE,31016 N POPLAR ST,LAUREL,19956,12/06/2021,Routine,,,"31016 N POPLAR ST
LAUREL, DE 19956
(38.562541, -75.572951)"
BETHANY BEACH VFC,215 HOLLYWOOD ST,BETHANY BEACH,19930,02/11/2020,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","215 HOLLYWOOD ST
BETHANY BEACH, DE 19930
(38.537328, -75.058399)"
BETHANY BEACH VFC,215 HOLLYWOOD ST,BETHANY BEACH,19930,12/01/2021,Routine,,,"215 HOLLYWOOD ST
BETHANY BEACH, DE 19930
(38.537328, -75.058399)"
BETHANY BLUES BARBECUE PIT,"POIB 699, 6 N PENNSYLVANIA AVE",BETHANY BEACH,19930,06/08/2021,Routine,,,
BETHANY BLUES BARBECUE PIT,"POIB 699, 6 N PENNSYLVANIA AVE",BETHANY BEACH,19930,12/10/2021,Routine,,,
BETHANY BLUES OF LEWES,18385 COASTAL HWY,LEWES,19958,05/04/2021,Routine,3-201.11,Compliance with Food Law,"18385 COASTAL HWY
LEWES, DE 19958
(38.740443, -75.146689)"
BETHANY BLUES OF LEWES,18385 COASTAL HWY,LEWES,19958,05/04/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"18385 COASTAL HWY
LEWES, DE 19958
(38.740443, -75.146689)"
BETHANY BLUES OF LEWES,18385 COASTAL HWY,LEWES,19958,05/04/2021,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","18385 COASTAL HWY
LEWES, DE 19958
(38.740443, -75.146689)"
BETHANY BOAT HOUSE,39817 HICKMAN RD,BETHANY BEACH,19930,06/11/2021,Routine,4-302.12,Food Temperature Measuring Devices,
BETHANY BOAT HOUSE,39817 HICKMAN RD,BETHANY BEACH,19930,07/12/2021,Complaint,,,
BETHANY DINER,792 A GARFIELD PARKWAY,BETHANY BEACH,19930,01/27/2020,Complaint,,,"792 A GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540685, -75.072451)"
BETHANY DINER,792 A GARFIELD PARKWAY,BETHANY BEACH,19930,01/29/2021,Routine,,,"792 A GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540685, -75.072451)"
BETHANY DINER,792 A GARFIELD PARKWAY,BETHANY BEACH,19930,10/28/2021,Routine,7-208.11,Storage-First Aid Supplies,"792 A GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540685, -75.072451)"
BETHANY DINER,792 A GARFIELD PARKWAY,BETHANY BEACH,19930,10/28/2021,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","792 A GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540685, -75.072451)"
BIDERMANN HALFWAY HOUSE,601 ADAMS DAM ROAD,WILMINGTON,19807,09/14/2020,Routine,,,"601 ADAMS DAM ROAD
WILMINGTON, DE 19807
(39.816999, -75.597273)"
BIG FISH GRILL,20298 COASTAL HWY,REHOBOTH BEACH,19971,10/27/2021,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","20298 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.711029, -75.098733)"
BIG FISH GRILL,20298 COASTAL HWY,REHOBOTH BEACH,19971,10/27/2021,Routine,3-203.12,"Shellstock, Maintaining Identification","20298 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.711029, -75.098733)"
BIG FISH GRILL,20298 COASTAL HWY,REHOBOTH BEACH,19971,11/05/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","20298 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.711029, -75.098733)"
BIG FISH GRILL,20298 COASTAL HWY,REHOBOTH BEACH,19971,11/05/2021,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","20298 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.711029, -75.098733)"
BIG FISH GRILL,20298 COASTAL HWY,REHOBOTH BEACH,19971,11/05/2021,Routine,5-202.13,"Backflow Prevention, Air Gap","20298 COASTAL HWY
REHOBOTH BEACH, DE 19971
(38.711029, -75.098733)"
BIG FISH MARKET,"4115 HWY ONE, UNIT C",REHOBOTH BEACH,19971,02/11/2021,Routine,6-301.12,Hand Drying Provision,"4115 HWY ONE, UNIT C
REHOBOTH BEACH, DE 19971
(38.699306, -75.078199)"
BIG FISH MARKET,"4115 HWY ONE, UNIT C",REHOBOTH BEACH,19971,02/11/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","4115 HWY ONE, UNIT C
REHOBOTH BEACH, DE 19971
(38.699306, -75.078199)"
BIG FISH ROSENFELD'S,34444 COASTAL HWY,BETHANY BEACH,19930,06/09/2021,Routine,4-302.12,Food Temperature Measuring Devices,"34444 COASTAL HWY
BETHANY BEACH, DE 19930
(38.509976, -75.05478)"
BIG FISH ROSENFELD'S,34444 COASTAL HWY,BETHANY BEACH,19930,12/08/2021,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","34444 COASTAL HWY
BETHANY BEACH, DE 19930
(38.509976, -75.05478)"
BIG FISH ROSENFELD'S,34444 COASTAL HWY,BETHANY BEACH,19930,12/08/2021,Routine,4-302.12,Food Temperature Measuring Devices,"34444 COASTAL HWY
BETHANY BEACH, DE 19930
(38.509976, -75.05478)"
BIG OAKS SNACK BAR,35567 BIG OAKS LANE,REHOBOTH BEACH,19971,05/26/2021,Routine,,,"35567 BIG OAKS LANE
REHOBOTH BEACH, DE 19971
(38.73784, -75.12956)"
BIG OYSTER BREWERY,1007 KINGS HWY,LEWES,19958,01/22/2020,Routine,,,"1007 KINGS HWY
LEWES, DE 19958
(38.760422, -75.145909)"
BIG SKY BREAD,701 CORNELL DR UNIT F 11,WILMINGTON,19801,06/08/2021,Routine,,,"701 CORNELL DR UNIT F 11
WILMINGTON, DE 19801
(39.71326, -75.554131)"
BIG'DS FOOD STORE,2501 NEWPORT GAP PIKE,WILMINGTON,19808,01/14/2020,Routine,,,"2501 NEWPORT GAP PIKE
WILMINGTON, DE 19808
(39.740784, -75.638587)"
BITES AND SLICE,629 W 4TH STREET,WILMINGTON,19801,04/22/2021,Routine,,,"629 W 4TH STREET
WILMINGTON, DE 19801
(39.742887, -75.557341)"
BIVOVAC PIZZA AND SOCIAL CLUB,4 MICHAEL LN,BEAR,19701,08/26/2020,Routine,,,"4 MICHAEL LN
BEAR, DE 19701
(39.575637, -75.72289)"
BJ'S WHOLESALE CLUB #197,26676 CTRVIEW DR,MILLSBORO,19966,02/21/2020,Routine,,,
BLACKWALL HITCH REHOBOTH,52 REHOBOTH AVE,REHOBOTH BEACH,19971,09/15/2021,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","52 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.71635, -75.077887)"
BLACKWALL HITCH REHOBOTH,52 REHOBOTH AVE,REHOBOTH BEACH,19971,09/15/2021,Routine,3-203.12,"Shellstock, Maintaining Identification","52 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.71635, -75.077887)"
"BLUE CRAB OF BETHANY BEACH, INC.",210 D GARFIELD PKWY,BETHANY BEACH,19930,04/21/2021,Routine,6-301.11,"Handwashing Cleanser, Availability","210 D GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.538208, -75.058027)"
BLUE ROCKS 3RD BASE CONCESSIONS,801 SHIPYARD DRIVE,WILMINGTON,19801,05/07/2021,Routine,,,"801 SHIPYARD DRIVE
WILMINGTON, DE 19801
(39.732638, -75.563115)"
